Item,SKU,Serial number,Barcode,Brand,Supplier,Quantity sold, Sales (inc. tax) , Sales (Ex. tax) , Order discounts , Discount offers , Total markup value , Purchase cost , Gross profit ,Margin %
BRAKE CALIPER S/HAND,,,,,,1,$30.00,$27.27,$0.00,$0.00,$0.00,$0.00,$27.27,100
BRAKE SYSTEM BLEED & FLUID,,,,,,1,$50.00,$45.45,$0.00,$0.00,$0.00,$0.00,$45.45,100
KAABO WOLF KING FULL SERVICE / NEW TYRES / BRAKE ISSUE,,,,,,1,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0
SM Skewer rear mid drive,,,,,,1,$12.31,$11.19,$0.00,$0.00,$0.00,$0.00,$11.19,100
WIND LIGHTS OLD STOCK,,,,,,1,$40.00,$36.36,$0.00,$0.00,$0.00,$0.00,$36.36,100
XIAOMI SOLID TYRE 8 X 2,,,,,,1,$30.00,$27.27,$0.00,$0.00,$0.00,$0.00,$27.27,100
DRAGON X10 INSTALL NUTT BRAKE KIT,,,,,,1,$100.00,$90.91,$0.00,$0.00,$100.00,$0.00,$90.91,100
ZERO 8 Locking Clip,ZER-8-LOC-CLIP,,8E3E7189,Zero,Falcon PEV Pte Ltd,1,$40.00,$36.36,$0.00,$0.00,$0.00,$28.00,$8.36,23
ZERO Wheel Axle / ZERO 8 Front Wheel Axle,ZER-8-WHE-AXL,,F600D117,Zero,Falcon PEV Pte Ltd,1,$6.00,$5.45,$0.00,$0.00,$0.00,$4.61,$0.84,15.48
ZERO Head Set Cup Upper (with bearing),ZER-HS-CUP-UPP,,D66B463D,Zero,Falcon PEV Pte Ltd,1,$40.00,$36.36,$0.00,$0.00,$0.00,$30.76,$5.60,15.41
E-BIKE RED POWER CUTTING OUT & ERROR 06 & CRANK LOOSE,,,,,,1,$100.00,$90.91,$0.00,$0.00,$100.00,$0.00,$90.91,100
SCT Bottle Cage / Black/Red,DUAL-CGE-BKRE,,4F8CC007,BBC,,1,$24.99,$22.72,$0.00,$0.00,$0.00,$19.06,$3.66,16.1
SCT Bottle Cage / Black/White,DUAL-CGE-BKWH,,DEA7AE13,BBC,,1,$24.99,$22.72,$0.00,$0.00,$0.00,$19.06,$3.66,16.1
E-BIKE BATTERY 36V NOT CHARGING,,,,,,1,$50.00,$45.45,$0.00,$0.00,$50.00,$0.00,$45.45,100
31.8mm Sports Handle bar,,,,,,1,$35.00,$31.82,$0.00,$0.00,$0.00,$35.00,-$3.18,-10
OnGuard 8268 Alarmed U-Lock,,,,,,1,$100.00,$90.91,$0.00,$0.00,$0.00,$0.00,$90.91,100
Smartmotion Catalyst 250W 48V / GRN / SML / 12.8,SMB-CAT-SM-12.8-GR,JL16100474,6CC9D9D1,,,1,"$2,200.00","$2,000.00",$0.00,$0.00,$0.00,"$1,538.46",$461.54,23.08
SCT Billy Helmet / Matt Black / 55-58CM,BILLY-HELMET-BK,,6C8F93A6,,Cambak Pty Ltd,1,$54.64,$49.67,$5.35,$0.00,$0.00,$0.00,$49.67,100
VSETT 11+ Motor / 60V Rear,VS-11+-R-MOTOR-60V,,0305F56C,VSETT,,1,$377.06,$342.78,$0.00,$0.00,$0.00,$342.78,$0.00,0
Pacer GT battery End Connectors,,,,,,1,$30.00,$27.27,$0.00,$0.00,$0.00,$0.00,$27.27,100
SM Pacer Display 36V,SM-PACER-DISP,,B64BD20B,Smartmotion,"Kunshan Cyclisport Co., Ltd",1,$84.16,$76.51,$0.00,$0.00,$0.00,$69.55,$6.96,9.1
Rock N Roll - holy cow,,,,,,1,$14.99,$13.63,$0.00,$0.00,$0.00,$0.00,$13.63,100
200KM complimentary first service,,,,,,1,$0.00,$0.00,$100.00,$0.00,$0.00,$0.00,$0.00,0
Loan Scooter: Vsett 9+,,,,,,1,$150.00,$136.36,$0.00,$0.00,$150.00,$0.00,$136.36,100
Essence Rear wheel set,,,,,,1,$161.15,$146.50,$0.00,$0.00,$0.15,$0.00,$146.50,100
"SM Rim / AlexRims DP23 - 26"" (559x23) / ECITY/EURBAN",SM-WHL-RIM-CLS,,22623373,Smartmotion,"Kunshan Cyclisport Co., Ltd",1,$47.96,$43.60,$11.99,$0.00,$59.95,$0.00,$43.60,100
PROGRAMMING CABLE AND USB X-CITY/MID-CITY,,,,,,1,$59.95,$54.50,$0.00,$0.00,$0.00,$0.00,$54.50,100
PLASTIC RING FOR E-20 FOLDING MECHANISM,,,,,,1,$5.95,$5.41,$0.00,$0.00,$0.00,$5.95,-$0.54,-10
ZERO Shock Absorber Block / ZERO 9,ZER-9-SHO-ABS-BLC,,C85DB44A,Zero,Falcon PEV Pte Ltd,1,$28.00,$25.45,$0.00,$0.00,$0.00,$12.60,$12.85,50.5
ZERO 8 REPAIR LCD DISPLAY,,,,,,1,$50.00,$45.45,$0.00,$0.00,$50.00,$0.00,$45.45,100
XIAOMI SCOOTER WONT TURN ON,,,,,,1,$30.00,$27.27,$0.00,$0.00,$30.00,$0.00,$27.27,100
HERO 8 REPAIR FRONT TYRE,,,,,,1,$50.00,$45.45,$0.00,$0.00,$0.00,$0.00,$45.45,100
Smartmotion Essence 250w 10.4AH / Blue,SMB-ESS-BLUE,JL17071113,C841C6E0,Smartmotion,"Kunshan Cyclisport Co., Ltd",1,$0.00,$0.00,"$1,397.90",$0.00,$0.00,$903.90,-$903.90,0
MID-CITY FIRST SERVICE,,,,,,1,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0
disk lock,,,,,,1,$40.00,$36.36,$0.00,$0.00,$0.00,$0.00,$36.36,100
Service / Plus,10069,,C33608F5,,,1,$199.00,$180.91,$0.00,$0.00,$0.00,$0.00,$180.91,100
RE Vibration alarm,,,,,,1,$121.50,$110.46,$3.45,$0.00,$0.00,$124.95,-$14.49,-13.12
Tubeless valve,,,,,,1,$10.00,$9.09,$0.00,$0.00,$0.00,$0.00,$9.09,100
111 DAPU NYLON GEAR,,,,,,1,$50.00,$45.45,$0.00,$0.00,$0.00,$50.00,-$4.55,-10
111 INNER GEAR CABLE,,,,,,1,$15.00,$13.64,$0.00,$0.00,$0.00,$15.00,-$1.36,-10
CATALYST NO DRIVE,,,,,,1,$50.00,$45.45,$0.00,$0.00,$0.00,$0.00,$45.45,100
P.A.S SENSOR,,,,,,1,$25.00,$22.73,$0.00,$0.00,$0.00,$0.00,$22.73,100
NRC11 E-BIKE WIRING LOOM DAMAGED & CHECK OVER,,,,,,1,$100.00,$90.91,$0.00,$0.00,$100.00,$0.00,$90.91,100
WORKSHOP SUPPLIES CONNECTORS/SOLDER/HEAT SHRINK,,,,,,1,$25.00,$22.73,$0.00,$0.00,$0.00,$0.00,$22.73,100
DUALCAGE BOTTLE HOLDER,,,,,,1,$20.00,$18.18,$0.00,$0.00,$0.00,$0.00,$18.18,100
CAGEFIX STRAPS,,,,,,1,$10.00,$9.09,$0.00,$0.00,$0.00,$0.00,$9.09,100
VSETT 11+ SERVICE BRAKE SYSTEM,,,,,,1,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0
SEGWAY STYLE NINEBOT INSTALL TYRE/VALVE SUPPLIED BY CUSTOMER,,,,,,1,$70.00,$63.64,$0.00,$0.00,$70.00,$0.00,$63.64,100
"E-GLIDE FRONT WHEEL DAMAGED, HUB LOCKING UP",,,,,,1,$50.00,$45.45,$0.00,$0.00,$50.00,$0.00,$45.45,100
VSETT 10+ Light module,VS-10+-LIGHT-MLD,,B2682FF7,VSETT,Ningbo Vsett,1,$15.45,$14.05,$0.00,$0.00,$0.00,$14.05,$0.00,0
ZERO 10X Front Swing Arms,ZER-10X-FRO-FOR,,A0FA0842,Zero,Falcon PEV Pte Ltd,1,$210.00,$190.91,$0.00,$0.00,$0.00,$115.50,$75.41,39.5
KUSH MINI REPAIR FLAT REAR,,,,,,1,$50.00,$45.45,$0.00,$0.00,$50.00,$0.00,$45.45,100
Quando midcity / xcity hub,,,,,,1,$34.38,$31.25,$12.12,$0.00,$0.00,$0.00,$31.25,100
SEGWAY NINEBOT INSTALL SOLID TYRE SUPPLIED BY CUSTOMER,,,,,,1,$100.00,$90.91,$0.00,$0.00,$100.00,$0.00,$90.91,100
Hypersonic Neo Forks,HYP-NEO-FORK,,96EBF094,Smartmotion,"Kunshan Cyclisport Co., Ltd",1,$195.66,$177.87,$0.00,$0.00,$0.00,$127.05,$50.82,28.57
sm classic comms,,,,,,1,$18.17,$16.51,$7.79,$0.00,$0.00,$0.00,$16.51,100
sm classic manifold,,,,,,1,$35.00,$31.82,$15.00,$0.00,$0.00,$0.00,$31.82,100
Sm classic controller,,,,,,1,$105.00,$95.45,$45.00,$0.00,$0.00,$0.00,$95.45,100
VSETT 9/9+ Cover plate (rubber),VS-9/9+-COVR-PLT-RUBBER,,EB84D4ED,VSETT,Ningbo Vsett,1,$0.00,$0.00,$24.40,$0.00,$0.00,$22.18,-$22.18,0
VSETT 9/9+ Main board,VS-9/9+-MAIN-BRD,,129CE2C0,VSETT,Ningbo Vsett,1,$0.00,$0.00,$100.93,$0.00,$0.00,$91.75,-$91.75,0
ZERO 8 THROTTLE BROKEN & WONT TURN ON,,,,,,1,$50.00,$45.45,$0.00,$0.00,$50.00,$0.00,$45.45,100
E-GLIDE REPAIR FLAT FRONT TYRE,,,,,,1,$50.00,$45.45,$0.00,$0.00,$50.00,$0.00,$45.45,100
MID-CITY WHHEL BLACK - REAR,,,,,,1,$0.00,$0.00,$139.95,$0.00,$0.00,$139.95,-$139.95,0
MID-CITY WHEEL - BLACK FRONT,,,,,,1,$0.00,$0.00,$99.99,$0.00,$0.00,$99.99,-$99.99,0
GOOD S/HAND LCD DISPLAY,,,,,,1,$60.00,$54.55,$0.00,$0.00,$0.00,$0.00,$54.55,100
VSETT 10+/ZERO 10X FIRST SERVICE,,,,,,1,$50.00,$45.45,$0.00,$0.00,$50.00,$0.00,$45.45,100
Ninebot Tyre - Low Profile,,,,,,1,$75.00,$68.18,$0.00,$0.00,$0.00,$75.00,-$6.82,-10
Gub Phone Holder,,,,,,1,$22.46,$20.41,$2.50,$0.00,$0.00,$24.95,-$4.54,-22.22
ZERO 10 POWER CUT OUT BATTERY ISSUE,,,,,,1,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0
VSETT 10+ DOWN ON POWER & BATTERY RUN TIME,,,,,,1,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0
VSETT 9 LOOSE HANDLE BAR & CHECK OVER,,,,,,1,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0
VSETT 10+ CUTTING OUT ERROR 06,,,,,,1,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0
2X ZER0 9 SERVICE / CHECK FORKS / SHOCK BUSHES,,,,,,1,$200.00,$181.82,$0.00,$0.00,$200.00,$0.00,$181.82,100
VSETT 8 FULL SERVICE & REPAIR FLAT TYRE,,,,,,1,$100.00,$90.91,$0.00,$0.00,$0.00,$0.00,$90.91,100
VSETT 8 S:V8S48V61070036 DECK CRACKED NEEDS REPLACING & FRONT SHOCK BOLT BROKEN,,,,,,1,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0
VSETT 8 DECK,,,,,,1,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0
MI SCOOTER INSTALL SOLID TYRE TO REAR,,,,,,1,$50.00,$45.45,$0.00,$0.00,$50.00,$0.00,$45.45,100
ZOOM REAR CALIPER,,,,,,1,$95.00,$86.36,$0.00,$0.00,$0.00,$0.00,$86.36,100
smartmotion docking station mid/Xcity,,,,,,1,$49.95,$45.41,$0.00,$0.00,$0.00,$49.95,-$4.54,-10
"XIAOMI TYRES 8"" SOLID",,,,,,1,$14.00,$12.73,$0.00,$0.00,$0.00,$14.00,-$1.27,-10
ZERO 8X Controller / 52V 26Ah - Front,ZER-8X-CON-52V26-A,,1C1B8979,Zero,Falcon PEV Pte Ltd,1,$105.00,$95.45,$0.00,$0.00,$0.00,$50.40,$45.05,47.2
ZERO 8 Folding Lever,ZER-8-FOL-LEV,,E20034A2,Zero,Falcon PEV Pte Ltd,1,$9.10,$8.27,$0.00,$0.00,$0.00,$4.20,$4.07,49.23
SM Smart BMS for Battery / 48V (13S),SM-SMRT-BMS-48V,,F02D782C,Zero,Falcon PEV Pte Ltd,1,$0.00,$0.00,$25.95,$0.00,$0.00,$25.95,-$25.95,0
"20"" TUBE",,,,,,1,$13.00,$11.82,$0.00,$0.00,$13.00,$0.00,$11.82,100
"SCHWABLE BIG APPLE 20"" TYRE",,,,,,1,$60.00,$54.55,$0.00,$0.00,$0.00,$60.00,-$5.45,-10
"SM Rim / Alexrims X2100 - 26"" / ESSENCE",SM-WHL-RIM-ES559190,,49C9197E,Smartmotion,"Kunshan Cyclisport Co., Ltd",1,$38.46,$34.96,$0.00,$0.00,$0.00,$23.31,$11.65,33.33
DRAGON X9 FIT NEW BRAKE LEVER,,,,,,1,$50.00,$45.45,$0.00,$0.00,$0.00,$0.00,$45.45,100
Kryptonite Evolution U-Lock,,,,,,1,$124.95,$113.59,$0.00,$0.00,$0.00,$124.95,-$11.36,-10
E-GLIDE REPAIR BATTERY CONNECTION PORT,,,,,,1,$50.00,$45.45,$0.00,$0.00,$50.00,$0.00,$45.45,100
"ZERO 8 WON'T CHARGE OR TURN ON,",,,,,,1,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0
ZERO 8 INSTALL NEW DECK & CHECK OVER,,,,,,1,$150.00,$136.36,$0.00,$0.00,$150.00,$0.00,$136.36,100
ZERO 10X REPAIR FLAT REAR TYRE,,,,,,1,$50.00,$45.45,$0.00,$0.00,$0.00,$0.00,$45.45,100
VSETT 9 V9S52V6121030053 LOOSE RIGHT SIDE HANDLE BAR,,,,,,1,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0
DC to DC 12 Volt converter,,,,,,1,$32.00,$29.09,$0.00,$0.00,$0.00,$32.00,-$2.91,-10
SEGWAY NINEBOT MAX ERROR 15 BRAKE LEVER,,,,,,1,$50.00,$45.45,$0.00,$0.00,$0.00,$0.00,$45.45,100
